County Name,FRED ID
"Lee County, FL",27695
"Leon County, FL",27696
"Levy County, FL",27697
"Liberty County, FL",27698
"Madison County, FL",27699
"Manatee County, FL",27700
"Marion County, FL",27701
"Martin County, FL",27702
"Miami-Dade County, FL",32078
"Monroe County, FL",27703
"Nassau County, FL",27704
"Okaloosa County, FL",27705
"Okeechobee County, FL",27706
"Orange County, FL",27707
"Osceola County, FL",27708
"Palm Beach County, FL",27709
"Pasco County, FL",27710
"Pinellas County, FL",27711
"Polk County, FL",27712
"Putnam County, FL",27713
"Santa Rosa County, FL",27714
"Sarasota County, FL",27715
"Seminole County, FL",27716
"St. Johns County, FL",27717
"St. Lucie County, FL",27718
"Sumter County, FL",27719
"Suwannee County, FL",27720
"Taylor County, FL",27721
"Union County, FL",27722
"Volusia County, FL",27723
"Wakulla County, FL",27724
"Walton County, FL",27725
"Washington County, FL",27726
"Appling County, GA",27728
"Atkinson County, GA",27729
"Bacon County, GA",27730
"Baker County, GA",27731
"Baldwin County, GA",27732
"Banks County, GA",27733
"Barrow County, GA",27734
"Bartow County, GA",27735
"Ben Hill County, GA",27736
"Berrien County, GA",27737
"Bibb County, GA",27738
"Bleckley County, GA",27739
"Brantley County, GA",27740
"Brooks County, GA",27741
"Bryan County, GA",27742
"Bulloch County, GA",27743
"Burke County, GA",27744
"Butts County, GA",27745
"Calhoun County, GA",27746
"Camden County, GA",27747
"Candler County, GA",27748
"Carroll County, GA",27749
"Catoosa County, GA",27750
"Charlton County, GA",27751
"Chatham County, GA",27752
"Chattahoochee County, GA",27753
"Chattooga County, GA",27754
"Cherokee County, GA",27755
"Clarke County, GA",27756
"Clay County, GA",27757
"Clayton County, GA",27758
"Clinch County, GA",27759
"Cobb County, GA",27760
"Coffee County, GA",27761
"Colquitt County, GA",27762
"Columbia County, GA",27763
"Cook County, GA",27764
"Coweta County, GA",27765
"Crawford County, GA",27766
"Crisp County, GA",27767
"Dade County, GA",27768
"Dawson County, GA",27769
"Decatur County, GA",27770
"De Kalb County, GA",27771
"Dodge County, GA",27772
"Dooly County, GA",27773
"Dougherty County, GA",27774
"Douglas County, GA",27775
"Early County, GA",27776
"Echols County, GA",27777
"Effingham County, GA",27778
"Elbert County, GA",27779
"Emanuel County, GA",27780
"Evans County, GA",27781
"Fannin County, GA",27782
"Fayette County, GA",27783
"Floyd County, GA",27784
"Forsyth County, GA",27785
"Franklin County, GA",27786
"Fulton County, GA",27787
"Gilmer County, GA",27788
"Glascock County, GA",27789
"Glynn County, GA",27790
"Gordon County, GA",27791
"Grady County, GA",27792
"Greene County, GA",27793
"Gwinnett County, GA",27794
"Habersham County, GA",27795
"Hall County, GA",27796
"Hancock County, GA",27797
"Haralson County, GA",27798
"Harris County, GA",27799
"Hart County, GA",27800
"Heard County, GA",27801
"Henry County, GA",27802
"Houston County, GA",27803
"Irwin County, GA",27804
"Jackson County, GA",27805
"Jasper County, GA",27806
"Jeff Davis County, GA",27807
"Jefferson County, GA",27808
"Jenkins County, GA",27809
"Johnson County, GA",27810
"Jones County, GA",27811
"Lamar County, GA",27812
"Lanier County, GA",27813
"Laurens County, GA",27814
"Lee County, GA",27815
"Liberty County, GA",27816
"Lincoln County, GA",27817
"Long County, GA",27818
"Lowndes County, GA",27819
"Lumpkin County, GA",27820
"Macon County, GA",27821
"Madison County, GA",27822
"Marion County, GA",27823
"McDuffie County, GA",27824
"McIntosh County, GA",27825
"Meriwether County, GA",27826
"Miller County, GA",27827
"Mitchell County, GA",27828
"Monroe County, GA",27829
"Montgomery County, GA",27830
"Morgan County, GA",27831
"Murray County, GA",27832
"Muscogee County, GA",27833
"Newton County, GA",27834
"Oconee County, GA",27835
"Oglethorpe County, GA",27836
"Paulding County, GA",27837
"Peach County, GA",27838
